path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	Z_NEG,	1.34936,	132.564,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	X_NEG,	1.43039,	207.129,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Y_NEG,	1.38037,	205.746,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Z_NEG,	1.44336,	130.438,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	X_NEG,	1.34998,	186.271,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Y_NEG,	1.36469,	186.844,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Z_NEG,	1.37225,	125.881,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	X_NEG,	1.39085,	218.17,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Y_NEG,	1.35279,	213.94,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Z_NEG,	1.37891,	120.775,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	X_NEG,	1.40237,	153.304,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	Y_NEG,	1.34713,	207.416,	296,	296,	153,	BICGSTABCPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	Z_NEG,	1.41981,	133.206,	296,	296,	153,	BICGSTABCPU
