path,porosity,dir,tau,t,dimx,dimy,dimz,solver
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section003',	0.588752,	Z_NEG,	1.34887,	11.0659,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	X_NEG,	1.43469,	17.8254,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Y_NEG,	1.38269,	16.5905,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section004',	0.515927,	Z_NEG,	1.44441,	9.82705,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	X_NEG,	1.34676,	14.4782,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Y_NEG,	1.37434,	14.2791,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section005',	0.555522,	Z_NEG,	1.37334,	10.5709,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	X_NEG,	1.38679,	19.5802,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Y_NEG,	1.34662,	19.9996,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section006',	0.537171,	Z_NEG,	1.37957,	11.631,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	X_NEG,	1.401,	12.0449,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	Y_NEG,	1.35094,	15.5721,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section007',	0.547815,	Z_NEG,	1.42171,	11.6618,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section008',	0.517497,	X_NEG,	1.43838,	18.6955,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section008',	0.517497,	Y_NEG,	1.39532,	19.7679,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section008',	0.517497,	Z_NEG,	1.42272,	9.10942,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section009',	0.58956,	X_NEG,	1.33732,	13.0629,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section009',	0.58956,	Y_NEG,	1.31188,	10.5272,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_3bar_section009',	0.58956,	Z_NEG,	1.35602,	9.3956,	296,	296,	153,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section001',	0.48503,	X_NEG,	1.4303,	18.5276,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section001',	0.48503,	Y_NEG,	1.39308,	12.3044,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section001',	0.48503,	Z_NEG,	1.51268,	11.126,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section002',	0.493806,	X_NEG,	1.40736,	20.7773,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section002',	0.493806,	Y_NEG,	1.40845,	16.1221,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section002',	0.493806,	Z_NEG,	1.48036,	13.543,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section003',	0.473665,	X_NEG,	1.42123,	17.9605,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section003',	0.473665,	Y_NEG,	1.40737,	19.0669,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section003',	0.473665,	Z_NEG,	1.51625,	14.9836,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section004',	0.455983,	X_NEG,	1.46627,	20.2444,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section004',	0.455983,	Y_NEG,	1.46074,	19.0883,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section004',	0.455983,	Z_NEG,	1.5441,	12.1433,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section005',	0.456905,	X_NEG,	1.46566,	16.7136,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section005',	0.456905,	Y_NEG,	1.4393,	11.5535,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section005',	0.456905,	Z_NEG,	1.57568,	13.5962,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section006',	0.451169,	X_NEG,	1.46411,	18.9469,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section006',	0.451169,	Y_NEG,	1.4522,	16.7191,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section006',	0.451169,	Z_NEG,	1.58708,	13.6921,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section007',	0.47058,	X_NEG,	1.47294,	18.2114,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section007',	0.47058,	Y_NEG,	1.45295,	19.357,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section007',	0.47058,	Z_NEG,	1.52249,	12.9814,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section008',	0.456194,	X_NEG,	1.4865,	17.3236,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section008',	0.456194,	Y_NEG,	1.46461,	15.7343,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section008',	0.456194,	Z_NEG,	1.56855,	12.696,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section009',	0.482211,	X_NEG,	1.41632,	17.962,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section009',	0.482211,	Y_NEG,	1.41147,	22.9006,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_4bar_section009',	0.482211,	Z_NEG,	1.50459,	14.9973,	316,	316,	158,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section001',	0.582189,	X_NEG,	1.33585,	14.1407,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section001',	0.582189,	Y_NEG,	1.34348,	13.5944,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section001',	0.582189,	Z_NEG,	1.31616,	8.36045,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	X_NEG,	1.35462,	16.3651,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	Y_NEG,	1.38406,	15.8349,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section002',	0.554386,	Z_NEG,	1.35786,	9.32084,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	X_NEG,	1.30001,	12.7074,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	Y_NEG,	1.30586,	10.8676,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section003',	0.607356,	Z_NEG,	1.31688,	7.97907,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	X_NEG,	1.36238,	15.7031,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	Y_NEG,	1.33306,	14.7525,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section004',	0.5681,	Z_NEG,	1.35619,	9.40812,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	X_NEG,	1.38766,	13.392,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	Y_NEG,	1.36238,	9.81372,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section005',	0.555147,	Z_NEG,	1.36128,	9.20214,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	X_NEG,	1.3581,	13.6729,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	Y_NEG,	1.3736,	15.3358,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section006',	0.552295,	Z_NEG,	1.33805,	9.48008,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	X_NEG,	1.38069,	11.033,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	Y_NEG,	1.36871,	13.8237,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section007',	0.564353,	Z_NEG,	1.34279,	8.51527,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	X_NEG,	1.33776,	10.3703,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	Y_NEG,	1.35279,	15.7081,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section008',	0.580296,	Z_NEG,	1.32729,	8.98083,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	X_NEG,	1.34885,	11.3339,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	Y_NEG,	1.34385,	14.8686,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL47_NMC5_UC_section009',	0.58912,	Z_NEG,	1.30977,	9.09094,	316,	316,	124,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section001',	0.501347,	X_NEG,	1.44384,	22.467,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section001',	0.501347,	Y_NEG,	1.43525,	18.2041,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section001',	0.501347,	Z_NEG,	1.45296,	16.901,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section002',	0.510965,	X_NEG,	1.42159,	26.3882,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section002',	0.510965,	Y_NEG,	1.44583,	23.959,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section002',	0.510965,	Z_NEG,	1.41634,	18.9879,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section003',	0.510137,	X_NEG,	1.40956,	18.8248,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section003',	0.510137,	Y_NEG,	1.42308,	21.1261,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section003',	0.510137,	Z_NEG,	1.43543,	17.6264,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section004',	0.50156,	X_NEG,	1.42683,	21.4241,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section004',	0.50156,	Y_NEG,	1.41254,	17.6339,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section004',	0.50156,	Z_NEG,	1.44442,	21.4341,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section005',	0.513641,	X_NEG,	1.41683,	24.2275,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section005',	0.513641,	Y_NEG,	1.4182,	18.0018,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section005',	0.513641,	Z_NEG,	1.42389,	16.7803,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section006',	0.521519,	X_NEG,	1.391,	24.7198,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section006',	0.521519,	Y_NEG,	1.40104,	21.2306,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section006',	0.521519,	Z_NEG,	1.42684,	17.016,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section007',	0.520536,	X_NEG,	1.43219,	23.5515,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section007',	0.520536,	Y_NEG,	1.4061,	22.7236,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section007',	0.520536,	Z_NEG,	1.43138,	22.3526,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section008',	0.517971,	X_NEG,	1.41873,	23.5446,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section008',	0.517971,	Y_NEG,	1.40658,	16.0033,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section008',	0.517971,	Z_NEG,	1.41228,	19.6083,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section009',	0.492776,	X_NEG,	1.46084,	19.5564,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section009',	0.492776,	Y_NEG,	1.43951,	23.5,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_1c5bar_section009',	0.492776,	Z_NEG,	1.43913,	16.7362,	296,	296,	220,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	X_NEG,	1.37845,	14.9445,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	Y_NEG,	1.3846,	13.9736,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section001',	0.528914,	Z_NEG,	1.42586,	11.3595,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	X_NEG,	1.38266,	16.6426,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	Y_NEG,	1.40305,	13.9028,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section002',	0.522645,	Z_NEG,	1.41364,	11.3125,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	X_NEG,	1.35431,	16.2684,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	Y_NEG,	1.36972,	14.3857,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section003',	0.552155,	Z_NEG,	1.39476,	12.4092,	296,	296,	175,	BICGSTABGPU
'D:\!battery\datasetNMC\SL48_NMC4_3bar_section004',	0.54855,	X_NEG,	1.3582,	17.3775,	296,	296,	175,	BICGSTABGPU
